@relation 'ipo3-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A14-N200-T1.0E-4'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute grade1 {T,F}

@data
0.007593,-0.018974,-0.045482,0.07445,0.028179,0.069969,-0.062213,-0.117603,0.057493,0.03953,0.033634,-0.031471,0.058007,F
0.004996,-0.017491,-0.042865,0.055199,0.023687,0.066421,-0.072693,-0.128775,0.059694,0.057483,0.041618,-0.004134,0.052743,F
0.125169,-0.034268,-0.073485,0.282393,0.241682,0.203516,-0.216326,0.133617,0.314036,-0.356842,-0.09141,-0.387159,0.101811,F
-0.048816,-0.04297,-0.017583,0.040234,-0.006869,0.056621,0.05088,-0.084055,-0.017954,0.104294,0.057761,0.026554,0.070438,F
-0.036135,-0.093564,0.034287,-0.028874,0.056245,0.131848,-0.002281,0.017901,0.122036,-0.004752,0.089326,0.075886,0.081341,F
0.000012,-0.031169,-0.027976,0.026594,0.011899,0.073248,-0.057819,-0.137457,0.062505,0.059047,0.062586,0.03032,0.054756,F
-0.023874,-0.030213,-0.029456,0.046875,0.013735,0.062602,-0.014023,-0.095805,0.024647,0.081102,0.047601,0.011926,0.061438,F
-0.012154,-0.041234,-0.022195,0.038202,0.003285,0.073956,-0.009528,-0.121059,0.036579,0.055226,0.062916,0.016135,0.06508,F
-0.010327,-0.016398,-0.037545,0.027799,0.009574,0.054713,-0.064112,-0.139674,0.041307,0.100418,0.053464,0.039555,0.047181,F
-0.039953,-0.065143,0.000528,0.020311,-0.010687,0.079521,0.060815,-0.088942,0.008243,0.063642,0.079731,0.039714,0.078183,F
-0.026056,-0.041292,-0.019413,0.028839,-0.007201,0.064729,0.010332,-0.121209,0.014222,0.083409,0.067136,0.034765,0.064418,F
-0.019799,-0.038006,-0.021511,0.025248,-0.002893,0.065974,-0.009562,-0.127333,0.026861,0.080786,0.066957,0.038108,0.060839,F
-0.031449,-0.041323,-0.018482,0.031433,0.003216,0.066153,0.009763,-0.096836,0.017463,0.083649,0.061016,0.031147,0.065352,F
-0.016055,-0.053169,-0.011163,0.024033,-0.004898,0.080582,0.009721,-0.122371,0.035837,0.049596,0.076251,0.031675,0.069393,F
